廠牌,車型/車款名,車型/車款,引擎,排氣量[L],最大扭力[N-m],最大馬力[kW],排檔型式_日,空重[kg],總重[kg],最大積載量[kg],自動車構造,能效[km/L],軸組型態_日,車輛種類,模擬車重[噸],總重[噸],乘車定員[人]
HINO,日野デュトロ,2KG-XZC710M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU600T,N04C,4.009,440,110,6AT,2356,4521,2000.0,トラック等,10.62,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU600T,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU600T,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.83,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU600T,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.78,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU600X,N04C,4.009,440,110,6AT,2356,4521,2000.0,トラック等,10.62,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU600X,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU605M,N04C,4.009,440,110,6AT,2356,4521,2000.0,トラック等,10.62,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU605M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU605M,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.83,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU605M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.78,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU605X,N04C,4.009,440,110,6AT,2356,4521,2000.0,トラック等,10.62,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU605X,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU605X,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.83,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU605X,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.78,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU645M,N04C,4.009,440,110,6AT,2356,4521,2000.0,トラック等,10.62,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU645M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU645M,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.83,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU645M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.78,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU650M,N04C,4.009,440,110,6AT,2356,4521,2000.0,トラック等,10.62,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU650M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU650M,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.83,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU650M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.78,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU655M,N04C,4.009,440,110,6AT,2356,4521,2000.0,トラック等,10.62,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU655M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU655M,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.83,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU655M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.78,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU700M,N04C,4.009,440,110,6AT,2356,4521,2000.0,トラック等,10.62,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU700M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU700M,N04C,4.009,440,110,6AT,3543,7928,4275.0,トラック等,7.45,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU700M,N04C,4.009,440,110,6MT,3543,7928,4275.0,トラック等,7.38,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU700M,N04C,4.009,470,132,6MT,3543,7928,4275.0,トラック等,7.24,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU710M,N04C,4.009,440,110,6AT,2356,4521,2000.0,トラック等,10.62,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU710M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU710M,N04C,4.009,440,110,6AT,3543,7928,4275.0,トラック等,7.45,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU710M,N04C,4.009,440,110,6MT,3543,7928,4275.0,トラック等,7.38,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU710M,N04C,4.009,470,132,6MT,3543,7928,4275.0,トラック等,7.24,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU720M,N04C,4.009,440,110,6AT,2356,4521,2000.0,トラック等,10.62,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU720M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU720M,N04C,4.009,440,110,6AT,3543,7928,4275.0,トラック等,7.45,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU720M,N04C,4.009,440,110,6MT,3543,7928,4275.0,トラック等,7.38,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU720M,N04C,4.009,470,132,6MT,3543,7928,4275.0,トラック等,7.24,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZC630T,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU630T,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.53,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2KG-XZU630T,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.78,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU710M,N04C,4.009,470,132,6MT,2356,4521,2000.0,トラック等,10.25,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU710M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU710M,N04C,4.009,470,132,6MT,3543,7928,4275.0,トラック等,7.07,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2DG-XZU720M,N04C,4.009,470,132,6MT,2356,4521,2000.0,トラック等,10.25,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU720M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU720M,N04C,4.009,470,132,6MT,3543,7928,4275.0,トラック等,7.07,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2DG-XZC600T,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZC605M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZC630T,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZC645M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZC655M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZC710M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU600T,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU600T,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.47,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU600X,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU605M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU605M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.47,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU605X,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU605X,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.47,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU630T,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU630T,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.47,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU645M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU645M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.47,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU650M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU650M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.47,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU655M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU655M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.47,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU700M,N04C,4.009,440,110,6MT,2356,4521,2000.0,トラック等,10.17,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU700M,N04C,4.009,470,132,6MT,3543,7928,4275.0,トラック等,7.07,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2DG-XZC675M,N04C,4.009,440,110,5MT,2356,4521,2000.0,トラック等,9.84,2D-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZC675T,N04C,4.009,440,110,5MT,2356,4521,2000.0,トラック等,9.84,2D-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU675M,N04C,4.009,440,110,5MT,2356,4521,2000.0,トラック等,9.84,2D-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU675M,N04C,4.009,440,110,5MT,2652,5812,2995.0,トラック等,9.16,2D-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU675T,N04C,4.009,440,110,5MT,2356,4521,2000.0,トラック等,9.84,2D-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU675T,N04C,4.009,440,110,5MT,2652,5812,2995.0,トラック等,9.16,2D-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU685M,N04C,4.009,440,110,5MT,2356,4521,2000.0,トラック等,9.84,2D-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU685M,N04C,4.009,440,110,5MT,2652,5812,2995.0,トラック等,9.16,2D-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU685M,N04C,4.009,440,110,5MT,2652,5812,2995.0,トラック等,8.79,2D-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU695M,N04C,4.009,440,110,5MT,2356,4521,2000.0,トラック等,9.84,2D-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU695M,N04C,4.009,440,110,5MT,2652,5812,2995.0,トラック等,9.16,2D-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU775M,N04C,4.009,440,110,5MT,2356,4521,2000.0,トラック等,9.84,2D-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-XZU775M,N04C,4.009,440,110,5MT,2652,5812,2995.0,トラック等,9.16,2D-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU600E,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.83,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU600E,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.78,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU640M,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.83,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU640M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.78,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU702M,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.83,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU702M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.78,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU702M,N04C,4.009,440,110,6MT,2979,6893,3749.0,トラック等,8.23,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU712M,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.83,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU712M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.78,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU712M,N04C,4.009,470,132,6MT,2652,5812,2995.0,トラック等,9.53,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU712M,N04C,4.009,440,110,6AT,2979,6893,3749.0,トラック等,8.26,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU712M,N04C,4.009,440,110,6MT,2979,6893,3749.0,トラック等,8.23,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU722M,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.83,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU722M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.78,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU722M,N04C,4.009,470,132,6MT,2652,5812,2995.0,トラック等,9.53,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2KG-XZU722M,N04C,4.009,440,110,6AT,2979,6893,3749.0,トラック等,8.26,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU722M,N04C,4.009,440,110,6MT,2979,6893,3749.0,トラック等,8.23,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2DG-XZU600E,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.47,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU600E,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.09,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU640M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.47,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU640M,N04C,4.009,440,110,6AT,2652,5812,2995.0,トラック等,9.09,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU702M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.47,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU712M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.47,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU712M,N04C,4.009,470,132,6MT,2979,6893,3749.0,トラック等,8.04,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2DG-XZU722M,N04C,4.009,440,110,6MT,2652,5812,2995.0,トラック等,9.47,2-4D,大貨車,4.2045,5.812,
HINO,日野デュトロ,2DG-XZU722M,N04C,4.009,470,132,6MT,2979,6893,3749.0,トラック等,8.04,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU602F,N04C,4.009,440,110,6AT,2979,6893,3749.0,トラック等,8.26,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU602F,N04C,4.009,440,110,6MT,2979,6893,3749.0,トラック等,8.23,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU642F,N04C,4.009,440,110,6AT,2979,6893,3749.0,トラック等,8.26,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU642F,N04C,4.009,440,110,6MT,2979,6893,3749.0,トラック等,8.23,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU652F,N04C,4.009,440,110,6AT,2979,6893,3749.0,トラック等,8.26,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU652F,N04C,4.009,440,110,6MT,2979,6893,3749.0,トラック等,8.23,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU702X,N04C,4.009,440,110,6AT,2979,6893,3749.0,トラック等,8.26,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU732M,N04C,4.009,440,110,6AT,2979,6893,3749.0,トラック等,8.26,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU642J,N04C,4.009,440,110,6MT,2979,6893,3749.0,トラック等,8.23,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2DG-XZU732M,N04C,4.009,470,132,6MT,2979,6893,3749.0,トラック等,8.04,2-4D,大貨車,4.9085,6.893,
HINO,日野デュトロ,2KG-XZU600F,N04C,4.009,440,110,6AT,3543,7928,4275.0,トラック等,7.45,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU600F,N04C,4.009,440,110,6MT,3543,7928,4275.0,トラック等,7.38,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU730M,N04C,4.009,440,110,6AT,3543,7928,4275.0,トラック等,7.45,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU730M,N04C,4.009,470,132,6MT,3543,7928,4275.0,トラック等,7.24,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU640F,N04C,4.009,440,110,6MT,3543,7928,4275.0,トラック等,7.38,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU650F,N04C,4.009,440,110,6MT,3543,7928,4275.0,トラック等,7.38,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2KG-XZU700X,N04C,4.009,470,132,6MT,3543,7928,4275.0,トラック等,7.24,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2DG-XZU700X,N04C,4.009,470,132,6MT,3543,7928,4275.0,トラック等,7.07,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2DG-XZU730M,N04C,4.009,470,132,6MT,3543,7928,4275.0,トラック等,7.07,2-4D,大貨車,5.7355,7.928,
HINO,日野デュトロ,2PG-GDY231M,1GD,2.754,300,106,5MT,1957,3612,1490.0,トラック等,11.4,2-4D,大貨車,2.757,3.612,
HINO,日野デュトロ,2PG-GDY281M,1GD,2.754,300,106,5MT,1957,3612,1490.0,トラック等,11.4,2D-4D,大貨車,2.757,3.612,
HINO,日野デュトロ,2DG-GDY281M,1GD,2.754,300,106,6AT,1957,3612,1490.0,トラック等,10.8,2D-4D,大貨車,2.757,3.612,
HINO,日野デュトロ,2DG-GDY231M,1GD,2.754,300,106,6AT,1957,3612,1490.0,トラック等,10.8,2-4D,大貨車,2.757,3.612,
HINO,日野デュトロ,2DG-GDY231M,1GD,2.754,300,106,5MT,2356,4521,2000.0,トラック等,10.2,2-4D,大貨車,3.411,4.521,
HINO,日野デュトロ,2DG-GDY231M,1GD,2.754,300,106,6AT,2356,4521,2000.0,トラック等,9.9,2-4D,大貨車,3.411,4.521,
HINO,日野レンジャー,2PG-FC2ABA,A05C,5.123,794,177,"6MT
6AMT",3543,7928,4275.0,トラック等,7.7,2-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2KG-FC2ABA,A05C,5.123,794,177,"6MT
6AMT",3543,7928,4275.0,トラック等,7.6,2-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2PG-FC2ABG,A05C,5.123,794,177,"6MT
6AMT",3543,7928,4275.0,トラック等,7.7,2-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2KG-FC2ABG,A05C,5.123,794,177,"6MT
6AMT",3543,7928,4275.0,トラック等,7.6,2-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2PG-FD2ABA,A05C,5.123,794,177,"6MT
6AMT",3543,7928,4275.0,トラック等,7.7,2-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2KG-FD2ABA,A05C,5.123,794,177,"6MT
6AMT",3543,7928,4275.0,トラック等,7.6,2-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2KG-FD2ABA,A05C,5.123,794,177,6AT,3543,7928,4275.0,トラック等,7.3,2-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2DG-FD2ABA,A05C,5.123,794,177,6AT,3543,7928,4275.0,トラック等,6.8,2-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2PG-FD2ABG,A05C,5.123,794,177,"6MT
6AMT",3543,7928,4275.0,トラック等,7.7,2-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2KG-FD2ABG,A05C,5.123,794,177,"6MT
6AMT",3543,7928,4275.0,トラック等,7.6,2-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2PG-FD2ABJ,A05C,5.123,794,177,6MT,3543,7928,4275.0,トラック等,7.7,2-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2KG-FD2ABJ,A05C,5.123,794,177,6MT,3543,7928,4275.0,トラック等,7.6,2-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2KG-FX2ABA,A05C,5.123,794,177,6MT,3543,7928,4275.0,トラック等,7.6,2D-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2KG-FX2ABA,A05C,5.123,794,177,6MT,3543,7928,4275.0,トラック等,7.5,2D-4D,大貨車,5.7355,7.928,
HINO,日野レンジャー,2PG-GC2ABA,A05C,5.123,794,177,"6MT
6AMT",4048,11641,7483.0,トラック等,6.3,2-4D,大貨車,7.8445,11.641,
HINO,日野レンジャー,2KG-GC2ABA,A05C,5.123,794,177,"6MT
6AMT",4048,11641,7483.0,トラック等,6.2,2-4D,大貨車,7.8445,11.641,
HINO,日野レンジャー,2PG-GC2ABG,A05C,5.123,794,177,"6MT
6AMT",4048,11641,7483.0,トラック等,6.3,2-4D,大貨車,7.8445,11.641,
HINO,日野レンジャー,2KG-GC2ABG,A05C,5.123,794,177,"6MT
6AMT",4048,11641,7483.0,トラック等,6.2,2-4D,大貨車,7.8445,11.641,
HINO,日野レンジャー,2PG-GD2ABA,A05C,5.123,794,177,"6MT
6AMT",4048,11641,7483.0,トラック等,6.3,2-4D,大貨車,7.8445,11.641,
HINO,日野レンジャー,2KG-GD2ABA,A05C,5.123,794,177,"6MT
6AMT",4048,11641,7483.0,トラック等,6.2,2-4D,大貨車,7.8445,11.641,
HINO,日野レンジャー,2KG-GD2ABA,A05C,5.123,794,177,6AT,4048,11641,7483.0,トラック等,6.1,2-4D,大貨車,7.8445,11.641,
HINO,日野レンジャー,2DG-GD2ABA,A05C,5.123,794,177,6AT,4048,11641,7483.0,トラック等,5.7,2-4D,大貨車,7.8445,11.641,
HINO,日野レンジャー,2PG-GD2ABG,A05C,5.123,794,177,"6MT
6AMT",4048,11641,7483.0,トラック等,6.3,2-4D,大貨車,7.8445,11.641,
HINO,日野レンジャー,2KG-GD2ABG,A05C,5.123,794,177,"6MT
6AMT",4048,11641,7483.0,トラック等,6.2,2-4D,大貨車,7.8445,11.641,
HINO,日野レンジャー,2PG-GX2ABA,A05C,5.123,794,177,"6MT
6AMT",4048,11641,7483.0,トラック等,6.3,2D-4D,大貨車,7.8445,11.641,
HINO,日野レンジャー,2KG-GX2ABA,A05C,5.123,794,177,"6MT
6AMT",4048,11641,7483.0,トラック等,6.2,2D-4D,大貨車,7.8445,11.641,
HINO,日野レンジャー,2PG-FJ2ABA,A05C,5.123,794,177,6MT,4516,12618,7992.0,トラック等,6.0,2-4D,大貨車,8.567,12.618,
HINO,日野レンジャー,2PG-FJ2ACA,A05C,5.123,794,177,6MT,4516,12618,7992.0,トラック等,6.0,2-4D,大貨車,8.567,12.618,
HINO,日野レンジャー,2PG-FJ2ABA,A05C,5.123,833,177,6MT,4516,12618,7992.0,トラック等,6.0,2-4D,大貨車,8.567,12.618,
HINO,日野レンジャー,2PG-FJ2ACA,A05C,5.123,833,177,6MT,4516,12618,7992.0,トラック等,6.0,2-4D,大貨車,8.567,12.618,
HINO,日野レンジャー,2KG-FJ2ABA,A05C,5.123,794,177,6MT,4516,12618,7992.0,トラック等,5.9,2-4D,大貨車,8.567,12.618,
HINO,日野レンジャー,2KG-FJ2ACA,A05C,5.123,794,177,6MT,4516,12618,7992.0,トラック等,5.9,2-4D,大貨車,8.567,12.618,
HINO,日野レンジャー,2KG-FJ2ABA,A05C,5.123,794,177,6AT,4516,12618,7992.0,トラック等,5.8,2-4D,大貨車,8.567,12.618,
HINO,日野レンジャー,2KG-FJ2ACA,A05C,5.123,794,177,6AT,4516,12618,7992.0,トラック等,5.8,2-4D,大貨車,8.567,12.618,
HINO,日野レンジャー,2KG-FJ2ABA,A05C,5.123,833,177,6MT,4516,12618,7992.0,トラック等,5.9,2-4D,大貨車,8.567,12.618,
HINO,日野レンジャー,2KG-FJ2ACA,A05C,5.123,833,177,6MT,4516,12618,7992.0,トラック等,5.9,2-4D,大貨車,8.567,12.618,
HINO,日野レンジャー,2DG-FJ2ABA,A05C,5.123,794,177,6AT,4516,12618,7992.0,トラック等,5.4,2-4D,大貨車,8.567,12.618,
HINO,日野レンジャー,2DG-FJ2ACA,A05C,5.123,794,177,6AT,4516,12618,7992.0,トラック等,5.4,2-4D,大貨車,8.567,12.618,
